degree,course_name,syllabus_url
,,https://docs.ie.edu/university/Grados/BAS/DESIGN_STUDIO_7_AGGREGATION.pdf
,,https://docs.ie.edu/university/Grados/BAS/URBAN_MANAGEMENT.pdf
,,https://docs.ie.edu/university/Grados/BAS/Architectural_History_and_Theory_4.pdf
,,https://docs.ie.edu/university/Grados/BAS/Advances_Structures_and_Foundations.pdf
,,https://docs.ie.edu/university/Grados/BAS/Design_Studio_8_Territory_A.pdf
,,https://docs.ie.edu/university/Grados/BAS/Urban_Strategies_2.pdf
,,https://docs.ie.edu/university/Grados/BAS/DEW3.pdf
,,https://docs.ie.edu/university/Grados/BAS/Advanced_Architectural_Graphics.pdf
,,https://docs.ie.edu/university/Grados/BAS/ALTERNATIVE_PRACTISES_URBAN_INFRASTRUCTURES.pdf
,,https://docs.ie.edu/university/Grados/BAS/ALTERNATIVE_PRACTISES_RESEARCH_METHODS.pdf
,,https://docs.ie.edu/university/Grados/BAS/ALTERNATIVE_PRACTISES_DESIGN.pdf
,,https://docs.ie.edu/university/Grados/BAS/ALTERNATIVE_PRACTISES_LANDSCAPE_AND_ENVIRONMENT.pdf
,,https://docs.ie.edu/university/Grados/BAS/ALTERNATIVE_PRACTISES_DIGITAL_STUDIES.pdf
,,https://docs.ie.edu/university/Grados/BAS/Undergraduate_Thesis.pdf
,,https://docs.ie.edu/university/Grados/BAS/DS9_synthesis.pdf
,,https://docs.ie.edu/university/Grados/BAS/Advanced_Technical_Studies_A.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2025-2026.pdf
,,https://docs.ie.edu/university/Calendarios/IEU-Academic-Calendar-2026-2027.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/INTRODUCTION_TO_BUSINESS_MANAGEMENT.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/THE_BIG_HISTORY_OF_IDEAS_AND_INNOVATION.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/FUNDAMENTALS_OF_PROBABILITY_AND_STATISTICS.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/DISCRETE_MATHEMATICS.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/LEARNING_TO_OBSERVE_EXPERIMENT_AND_SURVEY.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/Principles_of_Programming.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/PHYSICS_FOR_COMPUTER_SCIENCE.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/FUNDAMENTALS_OF_DATA_ANALYSIS.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/SIMULATING_AND_MODELING_TO_UNDERSTAND_CHANGE.pdf
,,https://docs.ie.edu/university/Grados/IECHALLENGE/Humanities.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/CALCULUS_FOR_COMPUTER_SCIENCE.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/COMPUTER_PROGRAMMING_1.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/CLOUD_COMPUTING.pdf
,,https://docs.ie.edu/university/Grados/IECHALLENGE/TECH.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/ALGORITHMS__DATA_STRUCTURES.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/COMPUTER_ARCHITECTURE_NETWORK_TECHNOLOGY__OPERATING.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/MATRICES__LINEAR_TRANSFORMATIONS.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/DESIGNING_AND_USING_DATABASES.pdf
,,https://docs.ie.edu/university/Grados/BCSAI/PROBABILITY_FOR_COMPUTING_SCIENCE.pdf
